MIN,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,PF,PTS,BUCKS
2,1,3,33.3,0,1,0,0,0,0,0,2,2,0,1,0,1,0,2,2
4,2,7,28.6,1,3,33.3,0,0,1,3,4,1,1,1,1,1,1,5,4
6,4,10,40,1,4,25,1,1,100,1,5,6,2,2,1,1,1,10,6
8,5,12,41.7,1,4,25,3,3,100,1,7,8,3,2,1,1,1,14,10
10,9,16,56.3,3,6,50,3,3,100,1,7,8,6,2,1,1,2,24,15
12,9,20,45,3,9,33.3,3,3,100,1,8,9,6,2,1,1,2,24,22
14,11,24,45.8,4,10,40,3,3,100,1,10,11,7,2,1,1,2,29,24
16,12,26,46.2,4,11,36.4,3,3,100,1,11,12,7,3,1,1,2,31,24
18,12,29,41.4,4,14,28.6,3,3,100,1,12,13,7,4,2,2,3,31,32
20,14,32,43.8,6,16,37.5,3,3,100,1,12,13,8,5,3,2,3,37,36
22,14,36,38.9,6,17,35.3,3,3,100,2,14,16,8,6,3,2,3,37,43
24,15,40,37.5,6,18,33.3,3,3,100,2,15,17,9,6,3,2,4,39,48
26,15,42,35.7,6,18,33.3,5,5,100,2,17,19,9,6,3,2,9,41,51
28,16,45,35.6,7,20,35,7,7,100,2,18,20,10,6,3,2,9,46,57
30,19,49,38.8,8,22,36.4,9,9,100,4,20,24,12,6,3,2,10,55,60
32,22,52,42.3,8,23,34.8,9,10,90,5,21,25,13,6,3,3,11,61,63
34,22,55,40,8,23,34.8,11,12,91.7,5,22,27,14,7,3,3,12,63,69
36,22,58,37.9,8,25,32,13,14,92.9,5,25,30,14,8,3,3,12,65,74
38,24,62,38.7,8,25,32,14,15,93.3,5,26,31,15,8,3,3,13,70,76
40,26,65,40,8,25,32,15,18,83.3,5,29,34,16,8,3,3,14,75,78
42,27,68,39.7,9,27,33.3,15,18,83.3,6,30,36,17,8,3,3,14,78,80
44,28,73,38.4,10,30,33.3,15,18,83.3,6,31,37,17,8,3,3,15,81,86
46,28,77,36.4,10,34,29.4,15,18,83.3,6,32,38,17,9,3,3,17,81,91
48,30,81,37,10,36,27.8,16,19,84.2,6,33,39,18,9,3,3,19,86,96
